,id,street,house_no,geom,longitude,latitude,zip_code,x,y,distance_km_from_0,distance_km_from_1,distance_km_from_2,distance_km_from_3,distance_km_from_4,distance_km_from_5,distance_km_from_6,distance_km_from_7,distance_km_from_8,distance_km_from_9,demand_kg
0,3200.0,Aachener Straße,11,298136.611 5624134.902,6.139303721474121,50.73387874771417,52076,5647669.548163226,684735.7024679244,0.0,5.494803682287023,5.524951040463594,4.851435863265223,6.449841233493217,5.451486328918065,2.080049794212418,8.892471040394598,7.098870478321482,4.579297012864301,0
1,2230.0,Aachener-und-Münchener-Allee,1,293683.424 5627354.953,6.074479059700094,50.76123415249739,52074,5650714.737894136,677478.2689298453,5.494803682287023,0.0,1.4031786827337587,1.0906311646116797,2.4513309284568794,2.1694666533197684,5.0798725207729545,4.252866949663542,5.501129129072134,3.0639487985069804,6494
2,3632.0,AachenMünchener-Platz,1,294621.785 5628398.439,6.08718406251715,50.77093876135898,52064,5651795.050010957,678900.5861308775,5.524951040463594,1.4031786827337587,0.0,0.8031289879966723,1.1927137853821612,0.7910918046043537,4.5833891984811785,3.458832148958726,4.101436939677055,1.93053443915668,15202
3,3663.0,Abteiblick,2,294745.197 5627604.753,6.089374672716437,50.76385414649951,52066,5651006.394292335,679145.8269843315,4.851435863265223,1.0906311646116797,0.8031289879966723,0.0,1.9848893865894779,1.3156920511086219,4.136426549331034,4.242948026356681,4.604345636401176,1.9871343245938686,14797
4,1004.0,Achterstraße,2,294692.725 5629589.182,6.087524109099074,50.78165819523667,52062,5652988.331931815,678938.6545970759,6.449841233493217,2.4513309284568794,1.1927137853821612,1.9848893865894779,0.0,1.0036767102446607,5.215092037701473,2.444782065648917,3.334121202070745,2.1899908842978326,19132
5,2000.0,Adalbertsteinweg,1,295306.477 5628794.884,6.096660915107702,50.77474132393833,52070,5652218.3493409995,679961.5358095383,5.451486328918065,2.1694666533197684,0.7910918046043537,1.3156920511086219,1.0036767102446607,0.0,4.234892427815122,3.447725228528047,3.3364716819902407,1.2974331327818711,10585
6,1005.0,Adalbert-Stifter-Straße,1,298620.846 5626158.014,6.145051296176323,50.75221785224698,52078,5649711.047941422,685379.2136656307,2.080049794212418,5.0798725207729545,4.5833891984811785,4.136426549331034,5.215092037701473,4.234892427815122,0.0,7.6118754612172355,5.1571512090491485,3.073706934131906,9336
7,2901.0,Adele-Weidtman-Straße,1,293287.105 5631589.842,6.066486535435617,50.799126896792565,52072,5654932.938893835,676583.5279885525,8.892471040394598,4.252866949663542,3.458832148958726,4.242948026356681,2.444782065648917,3.447725228528047,7.6118754612172355,0.0,4.332962595409269,4.54191523767447,16540
8,2801.0,Ahornweg,2,297604.276 5631214.509,6.127876317783002,50.79727951684428,52080,5654727.2894986905,683456.2856525775,7.098870478321482,5.501129129072134,4.101436939677055,4.604345636401176,3.334121202070745,3.3364716819902407,5.1571512090491485,4.332962595409269,0.0,2.9745326878769074,18127
9,1019.0,Alsenstraße,1,296552.248 5628431.893,6.114507493206998,50.77191939191181,52068,5651904.213304754,681959.5413253785,4.579297012864301,3.0639487985069804,1.93053443915668,1.9871343245938686,2.1899908842978326,1.2974331327818711,3.073706934131906,4.54191523767447,2.9745326878769074,0.0,954
